"workers_id","first_name","last_name","gender","phone","address","position","salary","is_working","hire_date","fire_date"
"16","Aggi","Rahl","F","635-986-0014","0364 Norway Maple Lane","Manager","140855","0","2019-06-13 10:30:15","2019-12-13 10:30:15"
"17","Lorita","MacPadene","F","868-471-7372","0 Bunting Hill","Stock Manager","83726","1","2019-07-01 22:54:28",""
"18","Greta","Gillbey","F","743-985-2270","63 Fisk Avenue","Clerk","208985","1","2019-07-21 22:14:54",""
"19","Cory","Andriessen","M","731-110-5180","393 Dunning Street","Manager","245622","1","2019-08-10 23:11:50","2020-02-10 23:11:50"
"20","Wendall","Yaknov","M","116-941-1703","08655 Montana Court","Assistant Archivist","154437","1","2019-08-29 16:59:06",""
"21","Woodman","Guerry","M","748-111-1900","77268 Kipling Pass","Automation Specialist","268454","1","2019-09-01 00:21:05",""
"22","Vachel","Brittan","M","545-346-3226","1845 Del Mar Lane","Library Services Assistant","244445","1","2019-09-08 20:17:35",""
"23","Octavia","Mowbray","F","343-845-2816","6 Carpenter Avenue","Secretary","184470","1","2019-09-27 23:11:52","2020-08-27 23:11:52"
"24","Lucian","Menelaws","M","720-641-3134","6203 Pennsylvania Point","Automation Specialist","232117","1","2019-10-18 15:36:42",""
"25","Dallon","Pantone","M","277-274-1167","87 Mallard Center","Assistant Archivist","145465","0","2019-10-19 10:25:30","2021-01-19 10:25:30"
"26","Vidovic","Lotterington","M","384-285-7603","00 Crescent Oaks Crossing","Shelver","109605","1","2019-11-20 02:04:49","2020-04-20 02:04:49"
"27","Carlin","Goslin","M","531-921-5841","5693 Arizona Point","Library Services Assistant","121548","1","2019-11-25 02:48:54",""
"28","Hi","Tewelson","M","192-101-1513","0637 Sommers Avenue","Library Services Assistant","264571","1","2019-11-28 02:54:12",""
"29","Bendite","Iacovolo","F","924-201-8882","957 Hollow Ridge Trail","Library Specialist","160559","1","2019-11-28 13:52:32",""
"30","Jilli","Gatchell","F","812-316-9530","1182 Roth Lane","Manager","208014","0","2019-12-26 11:18:10",""
"31","Jose","Orcott","M","804-959-9441","03444 Main Terrace","Automation Specialist","109852","1","2019-12-31 19:45:25","2021-04-30 19:45:25"
"32","Kimberli","Charnock","F","916-263-4840","171 Westerfield Road","Supervisor","252781","1","2020-01-16 20:36:34","2020-09-16 20:36:34"
"33","Darlleen","Orcas","F","185-555-7632","4 Burning Wood Avenue","Assistant Archivist","137590","0","2020-01-19 02:02:36",""
"34","Dukie","Shilstone","M","893-875-5549","9631 Rusk Terrace","Information Assistant","138070","0","2020-02-03 08:21:21",""
"35","Yul","Hankin","M","994-552-2159","64 Stoughton Road","Clerk","84157","1","2020-02-07 12:21:55",""
"36","Findlay","Janacek","M","854-219-9885","643 Roxbury Terrace","Library Services Assistant","80450","1","2020-02-12 07:53:14","2020-12-12 07:53:14"
"37","Mayor","Corn","M","161-343-9454","9069 Anniversary Road","Clerk","93492","0","2020-03-03 18:22:59",""
"38","Garrett","Bould","M","866-402-0824","81580 Elmside Way","Information Assistant","225244","1","2020-03-06 07:44:20",""
"39","Jacquenetta","Size","F","750-104-4827","50483 3rd Plaza","Information Assistant","140369","0","2020-03-12 05:24:06","2020-08-12 05:24:06"
"40","Krystalle","Schoenfisch","F","907-686-7842","84 Continental Parkway","Supervisor","132277","1","2020-03-15 18:32:39",""
"41","Giffie","Moxted","M","561-138-6071","4 Lillian Point","Shelver","127620","0","2020-03-24 06:15:36","2020-05-24 06:15:36"
"42","Clayborn","Gosnall","M","453-856-8579","233 Ilene Park","Library Services Assistant","247653","1","2020-03-26 14:13:07",""
"43","Arline","Ribbon","F","499-629-4384","207 Harper Center","Manager","94955","1","2020-04-19 03:51:54",""
"44","Sayers","Yurkevich","M","922-909-5621","1 Grasskamp Way","Assistant Archivist","170876","0","2020-04-22 00:03:12",""
"45","Christen","Tilt","F","726-317-4665","56 Dwight Road","Assistant Archivist","65722","0","2020-05-16 13:39:15",""
"46","Derrik","Debell","M","113-868-6204","3552 Nobel Alley","Automation Specialist","214702","0","2020-05-29 06:41:15",""
"47","Randell","Srutton","M","829-153-0769","8 Amoth Court","Information Assistant","288927","1","2020-07-09 07:42:06","2021-08-09 07:42:06"
"48","Rodger","Lownie","M","739-899-8159","7842 North Point","Stock Manager","231295","1","2020-07-09 17:31:48","2021-02-09 17:31:48"
"49","Britney","Setterington","F","682-672-5770","07841 Debra Crossing","Supervisor","256704","1","2020-07-20 09:30:59",""
"50","Marijn","Sepey","M","312-593-1151","9636 Pennsylvania Road","Secretary","254253","1","2020-08-20 14:51:40",""
"51","Freida","McInulty","F","860-920-8845","8084 Morning Drive","Clerk","105687","1","2020-08-22 06:41:14",""
"52","Franciska","Salla","F","199-858-6684","5 Tony Way","Manager","247554","1","2020-08-30 15:35:01",""
"53","Paxton","Chislett","M","955-622-1750","4154 Debra Circle","Shelver","204972","0","2020-09-05 02:54:41",""
"54","Judas","Mackley","M","402-929-4806","831 7th Road","Supervisor","259745","0","2020-09-11 05:34:18","2020-11-11 05:34:18"
"55","Keane","Medhurst","M","463-761-1606","18418 Green Parkway","Assistant Archivist","158810","0","2020-09-13 07:30:59",""
"56","Audie","Buttel","F","677-354-3343","1 Kim Place","Secretary","169790","1","2020-10-02 08:32:11","2021-01-02 08:32:11"
"57","Colby","Baumford","M","709-369-3790","26269 Warner Court","Assistant Archivist","215123","1","2020-10-31 13:57:30",""
"58","Richmond","Carrett","M","761-256-6888","72722 Upham Road","Library Specialist","279594","0","2020-11-02 10:23:21","2021-10-02 10:23:21"
"59","Townie","Thome","M","521-971-2001","3 Birchwood Pass","Library Specialist","261260","0","2020-11-08 09:49:33","2022-03-08 09:49:33"
"60","Trent","Brassill","M","725-247-8833","48764 Hermina Avenue","Clerk","149554","0","2020-11-21 18:52:56","2022-02-21 18:52:56"
"61","Dionisio","Kinnard","M","752-510-2281","40212 Hollow Ridge Trail","Assistant Archivist","77001","0","2020-11-24 02:13:10","2021-09-24 02:13:10"
"62","Dorisa","Hynson","F","901-317-7365","1035 Spaight Alley","Information Assistant","183919","0","2020-12-02 14:56:32",""
"63","Channa","Stutte","F","942-301-4013","5 Duke Plaza","Supervisor","114306","1","2020-12-16 15:27:22",""
"64","Moina","MacAlester","F","874-560-8795","6774 Saint Paul Junction","Library Specialist","176350","1","2021-01-04 11:43:49","2022-03-04 11:43:49"
"65","Claresta","McGiffin","F","230-731-4777","805 School Place","Stock Manager","83970","0","2021-02-24 09:19:46","2021-09-24 09:19:46"
"66","Fritz","Tallach","M","783-540-5615","03019 Loftsgordon Parkway","Stock Manager","97120","1","2021-03-19 03:02:40",""
"67","Jacobo","Siburn","M","982-746-0478","59029 Buena Vista Avenue","Secretary","253562","1","2021-03-19 18:43:25",""
"68","Franchot","Rosenstein","M","945-819-3247","8 Maple Center","Shelver","126656","0","2021-04-18 05:19:18","2022-04-18 05:19:18"
"69","Amory","Kohrt","M","416-236-5723","028 Oak Valley Place","Shelver","236580","1","2021-05-04 02:54:14","2021-11-04 02:54:14"
"70","Marshall","Peacocke","M","107-775-0876","0 Springs Alley","Automation Specialist","184270","1","2021-05-11 14:05:21",""
"71","Parker","Sember","M","708-680-6367","8 Express Plaza","Library Specialist","256333","1","2021-05-19 02:27:02",""
"72","Marjie","Cuckoo","F","544-718-8192","149 Lakeland Circle","Stock Manager","275667","0","2021-05-20 16:08:49",""
"73","Aldridge","Frensche","M","171-104-8096","396 Pleasure Point","Assistant Archivist","122197","0","2021-05-24 15:55:08","2022-09-24 15:55:08"
"74","Jonathan","Tatlowe","M","244-752-9799","611 Esker Road","Clerk","237085","1","2021-06-03 06:28:22",""
"75","Sada","Crozier","F","748-917-3405","6 Nova Parkway","Stock Manager","119258","0","2021-06-06 08:23:36",""
"76","Gertie","Paolo","F","538-544-6492","91943 Green Ridge Terrace","Library Specialist","85841","1","2021-06-06 10:26:27",""
"77","Dannie","Garron","F","557-670-3084","23369 Roxbury Crossing","Automation Specialist","163480","0","2021-06-12 14:35:55",""
"78","Leonora","Rivallant","F","802-315-9625","4 Kenwood Parkway","Shelver","283825","0","2021-06-27 06:21:08",""
"79","Maxie","Fishbourn","F","198-387-5942","4034 Summer Ridge Way","Shelver","77683","1","2021-07-02 19:55:33","2022-09-02 19:55:33"
"80","Ellery","Jaqueme","M","321-479-3680","70 Lawn Hill","Supervisor","98088","0","2021-08-04 03:53:35",""
"81","Aubert","Maylin","M","678-714-3482","077 Warrior Avenue","Library Specialist","244774","1","2021-08-17 21:00:12","2022-12-17 21:00:12"
"82","Eadith","Look","F","285-493-9803","5 Westport Lane","Library Services Assistant","73476","1","2021-08-28 16:12:26",""
"83","Artemis","Ramlot","M","132-455-5345","97 Sauthoff Hill","Shelver","155273","1","2021-09-20 14:32:38",""
"84","Sheila","Noddles","F","880-500-1426","662 Autumn Leaf Court","Clerk","224052","1","2021-09-23 06:57:59","2022-02-23 06:57:59"
"85","Finlay","Say","M","761-171-6032","41 Oak Valley Trail","Information Assistant","139859","0","2021-09-29 09:42:19",""
"86","Benyamin","Welbeck","M","933-977-6932","3 Arapahoe Lane","Assistant Archivist","153550","0","2021-09-29 20:53:41","2022-08-29 20:53:41"
"87","Giorgio","Kennedy","M","825-850-5395","5 Linden Crossing","Automation Specialist","100589","1","2021-10-05 13:52:48","2022-08-05 13:52:48"
"88","Shea","Hartzenberg","M","633-405-0053","2001 Anhalt Park","Stock Manager","259113","0","2021-10-06 10:08:45",""
"89","Oliver","Dullaghan","M","740-915-1818","16 Debra Road","Automation Specialist","206686","1","2021-10-12 14:21:01","2022-09-12 14:21:01"
"90","Silvanus","Mordon","M","699-711-2066","20 Homewood Circle","Automation Specialist","94637","1","2021-10-16 23:08:01","2022-09-16 23:08:01"
"91","Vlad","Bordessa","M","154-789-2574","331 Luster Center","Library Specialist","114589","1","2021-10-19 22:45:08",""
"92","Bernette","Atlay","F","645-575-0085","69 Esker Junction","Assistant Archivist","181769","1","2021-10-21 00:16:14","2022-04-18 05:19:18"
"93","Flora","Wild","F","101-852-5793","449 Colorado Road","Clerk","173247","0","2021-10-24 12:29:37","2022-06-24 12:29:37"
"94","Wakefield","Ryland","M","890-571-3969","86569 Rutledge Plaza","Assistant Archivist","248530","1","2021-11-01 08:12:54","2022-04-18 05:19:18"
"95","Leif","Rasell","M","311-442-9719","8837 Victoria Pass","Clerk","190518","0","2021-11-01 21:53:27",""
"96","Suellen","Merrisson","F","927-942-0351","3131 Fordem Point","Supervisor","285530","1","2021-11-02 01:26:56","2022-06-02 01:26:56"
"97","Berte","Lukasen","F","713-798-8668","61 Fordem Terrace","Library Specialist","138678","0","2021-11-03 03:58:06","2022-09-03 03:58:06"
"98","Trip","Fleming","M","723-610-5004","115 Debra Crossing","Library Specialist","225939","0","2021-11-12 18:53:49",""
"99","Rudie","Treuge","M","809-804-5433","85 Troy Alley","Shelver","86141","1","2021-11-19 03:51:38",""
"100","Patin","Seddon","M","978-863-4484","8 Schmedeman Pass","Automation Specialist","99192","0","2021-11-30 09:38:50","2022-12-30 09:38:50"
