"workers_id","first_name","last_name","gender","phone","address","position","salary","is_working","hire_date","fire_date"
"35","Olivette","Melpuss","F","910-235-2756","412 Cardinal Avenue","Automation Specialist","219735","0","2021-05-23 10:40:40","2022-12-23 10:40:40"
"36","Sansone","O'Hagirtie","M","944-738-4586","3550 Southridge Place","Stock Manager","292670","1","2018-09-12 11:45:04",""
"37","Cookie","Koppeck","F","934-710-3960","64634 Mitchell Hill","Clerk","175429","0","2016-07-18 02:12:33","2022-03-06 14:26:11"
"38","Corbett","Barniss","M","728-674-0110","8061 Golf Course Hill","Stock Manager","173825","0","2020-12-24 07:15:09","2022-03-16 22:21:37"
"39","Bearnard","Proudler","M","735-158-0470","90079 Farmco Trail","Library Specialist","86161","1","2018-06-18 02:39:25",""
"40","Netti","Findlow","F","702-354-7391","11692 Blackbird Hill","Clerk","252744","0","2014-01-16 18:07:53","2021-11-16 18:07:53"
"41","Ashlie","Paolillo","F","563-120-0056","15 Cascade Park","Stock Manager","86287","0","2014-03-06 17:53:29","2021-08-20 01:18:38"
"42","Abbott","Reams","M","314-285-1635","639 Pleasure Alley","Automation Specialist","168323","0","2014-12-04 07:25:40","2017-09-25 12:00:42"
"43","Elston","Byrd","M","805-498-7608","41329 Dawn Point","Manager","151373","1","2021-04-05 01:50:31",""
"44","Berti","Thunderchief","M","478-859-3802","5548 Holy Cross Terrace","Manager","119746","0","2012-10-31 13:28:59","2014-04-30 13:28:59"
"45","Waylen","Fuke","M","637-165-1307","7652 Meadow Valley Trail","Manager","149980","0","2012-04-07 15:09:53","2022-02-07 15:09:53"
"46","Boothe","Degnen","M","365-357-1482","76 Graceland Avenue","Manager","137478","1","2020-06-21 12:25:16",""
"47","Pollyanna","Tym","F","468-261-8639","4 Village Green Avenue","Supervisor","146088","0","2015-10-06 01:27:39","2016-07-06 01:27:39"
"48","Mabelle","Wapple","F","327-852-4316","1641 Ludington Hill","Assistant Archivist","247474","1","2020-10-20 03:24:51",""
"49","Miner","MacHostie","M","936-722-4967","8665 Anzinger Avenue","Manager","238091","0","2017-09-25 12:00:42","2019-11-25 12:00:42"
"50","Carine","Lamplough","F","802-615-5651","4557 Bartillon Trail","Automation Specialist","237933","1","2012-03-25 10:59:59",""
"51","Lombard","Dubery","M","388-938-8287","55245 Sullivan Alley","Secretary","267592","0","2013-01-13 03:27:28","2013-10-13 03:27:28"
"52","Thedrick","Whittet","M","673-910-2234","6234 Oak Valley Lane","Library Specialist","171749","1","2013-10-06 05:05:21",""
"53","Paulie","Beville","M","591-668-5361","5 Saint Paul Road","Shelver","276564","0","2018-11-29 06:49:55","2022-01-29 06:49:55"
"54","Olympia","Oliva","F","126-158-5349","94432 Thierer Terrace","Automation Specialist","136500","0","2018-06-05 23:04:24","2019-10-05 23:04:24"
"55","Kile","Farloe","M","930-115-5051","938 Graceland Circle","Stock Manager","83589","0","2017-04-03 17:32:10","2023-11-03 17:32:10"
"56","Levi","Playden","M","552-389-5631","99 Ludington Hill","Clerk","251966","1","2013-08-09 19:53:38",""
"57","Arlina","Gotthard","F","319-273-2877","45 Express Center","Manager","185668","0","2013-11-26 11:34:19","2016-06-26 11:34:19"
"58","Jandy","Lindstedt","F","982-975-1972","2420 Village Place","Manager","298997","1","2016-01-08 23:36:42",""
"59","Willi","Wicklin","M","101-747-2519","5 Bay Crossing","Assistant Archivist","243504","1","2011-04-27 20:47:11",""
"60","Ansell","Bantick","M","889-105-8011","865 Old Shore Way","Clerk","156929","1","2012-08-02 07:32:15",""
"61","Barron","Jans","M","512-292-7455","6667 Village Green Pass","Assistant Archivist","157802","1","2020-11-06 16:42:10",""
"62","Heidie","Jarville","F","408-790-2336","01748 Oneill Terrace","Automation Specialist","246434","0","2021-04-09 13:43:01","2022-06-06 12:51:54"
"63","Adolph","Sinclaire","M","174-330-8055","37875 Elka Street","Clerk","234457","0","2019-01-22 10:23:41","2020-10-20 03:24:51"
"64","Alfonse","Godball","M","350-776-2743","7 Eagan Street","Information Assistant","102224","0","2012-08-02 07:32:15","2022-11-08 15:20:10"
"65","Alverta","Tutton","F","113-997-5103","89032 Dayton Point","Assistant Archivist","253040","1","2022-08-06 12:22:52",""
"66","Cherilynn","Crookshanks","F","984-437-9803","858 Schurz Lane","Information Assistant","198469","0","2019-02-16 11:33:08","2021-04-05 01:50:31"
"67","Aylmer","Baleine","M","375-381-5773","403 Butternut Junction","Library Specialist","120836","1","2015-01-19 22:33:31",""
"68","Gordy","Marris","M","450-498-7524","56928 Larry Terrace","Stock Manager","108558","1","2022-06-06 12:51:54",""
"69","Packston","Kitchingman","M","459-474-1250","0954 Old Gate Avenue","Supervisor","227453","1","2015-04-12 11:08:52",""
"70","Fredericka","De la Zenne","F","679-712-7025","267 Magdeline Park","Assistant Archivist","233863","1","2021-01-19 12:56:05",""
"71","Frederic","Lidgett","M","367-951-9019","3 Thompson Street","Secretary","109395","0","2015-01-19 22:33:31","2022-08-02 05:17:06"
"72","Garold","Nicklinson","M","599-465-7049","4100 Golf View Point","Library Services Assistant","293132","0","2013-03-15 17:53:03","2015-12-15 17:53:03"
"73","Clement","Covet","M","513-906-2836","60 Roxbury Parkway","Supervisor","146923","1","2011-09-05 13:36:28",""
"74","Joice","Antunes","F","841-302-1160","044 Hoard Crossing","Library Services Assistant","267949","0","2012-07-31 03:26:44","2022-03-31 03:26:44"
"75","Perri","O'Haire","F","552-799-6170","521 Havey Junction","Stock Manager","275065","1","2015-06-14 04:24:58",""
"76","Elfrieda","Romei","F","810-700-0655","4 Ohio Circle","Secretary","231258","0","2019-01-08 18:03:23","2019-12-08 18:03:23"
"77","Lief","Arckoll","M","350-981-0464","38121 Sheridan Lane","Information Assistant","241022","0","2014-12-08 03:30:29","2017-02-08 03:30:29"
"78","Mariam","Ancketill","F","821-871-2931","37716 Elka Place","Manager","218801","1","2021-11-25 19:02:26",""
"79","Harmonie","Edelheid","F","617-147-2228","0 Morningstar Drive","Library Services Assistant","141673","1","2018-09-26 20:13:20",""
"80","Yvon","Feeney","M","504-489-1637","9 Oak Pass","Clerk","171308","1","2015-06-04 13:58:22",""
"81","Abbe","Mahomet","M","323-375-4100","92 Oxford Lane","Shelver","162601","1","2021-08-24 04:50:24",""
"82","Ruddy","Kramer","M","968-447-0023","39 Sunbrook Plaza","Stock Manager","245249","1","2012-02-17 17:13:43",""
"83","Wiatt","Ridler","M","746-587-0868","67728 Stone Corner Park","Secretary","124076","1","2012-09-22 12:29:30",""
"84","Erhard","Lyfe","M","594-570-0218","0370 Grover Parkway","Automation Specialist","70517","0","2017-05-05 00:03:39","2018-09-26 20:13:20"
"85","Tabina","Keningham","F","324-112-2211","8947 Lyons Road","Secretary","227158","0","2011-03-01 13:23:17","2015-03-01 13:23:17"
"86","Rosabella","Blunderfield","F","415-593-7714","8 Di Loreto Place","Shelver","75835","0","2011-10-28 06:24:34","2013-01-28 06:24:34"
"87","Sarene","Curedale","F","443-404-6019","341 Grim Place","Library Specialist","220113","1","2022-06-17 06:41:27",""
"88","Bibbie","Pow","F","950-889-9647","59704 Susan Circle","Library Specialist","136424","1","2012-03-03 10:07:41",""
"89","Hasty","Devey","M","790-184-1091","83 Huxley Drive","Information Assistant","144419","1","2017-08-11 07:55:41",""
"90","Faustine","Trevallion","F","569-736-8804","44 Milwaukee Hill","Secretary","214425","0","2018-10-19 19:33:18","2021-08-24 04:50:24"
"91","Ofilia","Mellers","F","881-921-8976","5 Fremont Crossing","Information Assistant","130642","1","2011-02-04 19:56:55",""
"92","Yolanda","Egiloff","F","724-431-4818","11 Brentwood Street","Clerk","183554","0","2013-04-30 22:51:12","2014-04-30 22:51:12"
"93","Raymond","Pickthorne","M","761-259-1620","6914 Thierer Park","Library Services Assistant","95951","0","2013-04-25 04:48:48","2022-10-25 04:48:48"
"94","Stefan","Joisce","M","251-182-0947","96 Swallow Lane","Information Assistant","172369","1","2011-10-15 00:20:25",""
"95","Fania","Hartnell","F","172-416-1337","791 Northland Park","Secretary","243902","0","2014-09-24 19:20:06","2016-05-24 19:20:06"
"96","Gwenneth","Redgewell","F","304-333-4364","49 Transport Park","Shelver","155250","1","2012-01-15 00:52:02",""
"97","Lowell","Drennan","M","616-456-7379","1280 Carioca Road","Clerk","195807","0","2017-06-30 22:38:41","2021-10-30 22:38:41"
"98","Minni","Lodemann","F","342-836-2387","88 Linden Center","Clerk","243054","0","2017-09-21 00:34:01","2018-12-21 00:34:01"
"99","Diego","Guilbert","M","380-358-3508","97016 Express Pass","Stock Manager","134488","1","2017-06-12 22:13:37",""
"100","Tris","Harwood","M","792-458-4242","9168 Erie Center","Automation Specialist","282545","0","2016-07-08 16:49:44","2021-12-08 16:49:44"
